Location,Price,Beds,Baths,Area,Parking,Elevators
Gulshan,30000000,4,5,2600,1,1
Gulshan,32000000,3,4,2283,1,1
Dhanmondi,7000000,3,3,1280,0,1
Dhanmondi,8000000,3,3,1240,0,1
Dhanmondi,11500000,3,3,1550,1,1
Dhanmondi,7000000,2,2,850,0,1
Hazaribag,11500000,3,3,1260,0,1
Hazaribag,8000000,3,3,1190,1,0
Hazaribag,6000000,3,2,990,1,0
Hazaribag,5225000,2,2,950,0,1
Hazaribag,5200000,2,2,730,0,1
Hazaribag,4500000,2,2,800,1,0
Keraniganj,4950000,3,3,1150,0,1
Keraniganj,4800000,3,3,1100,0,1
Keraniganj,3600000,3,2,1000,0,0
Keraniganj,2500000,2,3,750,0,0
Keraniganj,4400000,3,3,1380,1,0
Keraniganj,5300000,3,3,1380,1,0
Lalmatia,21000000,3,3,1975,1,1
Lalmatia,29500000,4,4,2308,1,1
Lalmatia,24000000,3,3,1860,1,1
Lalmatia,9200000,3,3,1154,1,1
Lalmatia,13500000,3,3,1570,1,1
Lalmatia,14800000,3,3,1480,1,1
Lalmatia,14000000,2,4,1600,1,1
Lalmatia,20000000,3,3,1600,1,1
Lalmatia,9000000,3,3,1400,1,1
Lalmatia,22000000,3,3,2040,1,1
Lalmatia,22000000,3,4,1590,1,1
Lalmatia,4000000,2,2,720,0,0
Lalmatia,15000000,3,3,1250,1,1
Lalmatia,20000000,4,4,1807,1,1
Lalmatia,17000000,3,3,1700,1,1
Lalmatia,8000000,3,3,1000,1,1
Lalmatia,29500000,4,4,2308,1,1
Lalmatia,30700000,3,3,2790,0,1
Lalmatia,6000000,2,2,720,0,0
Lalmatia,5000000,2,2,750,0,0
Lalmatia,36500000,4,4,2984,1,1
Lalmatia,22200000,3,3,1385,1,1
Lalmatia,22000000,3,3,1750,1,1
Lalmatia,13000000,3,3,1293,1,1
Lalmatia,22000000,3,4,1898,1,1
Lalmatia,13000000,3,3,1250,1,1
Lalmatia,25000000,3,3,1900,1,1
Lalmatia,16000000,3,4,1800,1,1
Lalmatia,18000000,3,4,1635,1,1
Lalmatia,22200000,3,4,1805,1,1
Lalmatia,38000000,4,4,1850,1,1
Lalmatia,16000000,3,3,1470,1,1
Lalmatia,26500000,3,3,1878,1,1
Banasree,4200000,2,2,820,0,0
Banasree,11500000,3,3,1700,1,1
Banasree,6900000,3,2,1015,1,0
Banasree,6700000,3,3,1100,1,1
Banasree,5700000,2,2,1070,0,1
Banasree,12000000,3,2,1500,1,1
Banasree,4900000,2,2,1005,1,1
Banasree,5225000,2,2,1050,0,0
Banasree,10500000,4,3,1720,1,1
Banasree,75000000,3,3,1220,1,0
Banasree,11000000,3,4,1720,1,1
Banasree,12600000,3,3,1660,1,1
Banasree,12500000,3,3,1640,1,1
Banasree,12900000,3,3,1700,1,1
Banasree,7500000,3,3,1730,1,0
Banasree,12900000,3,3,1700,1,0
Banasree,4500000,3,3,1000,0,0
Banasree,6200000,3,2,1077,0,1
Banasree,9400000,3,3,1415,1,1
Banasree,9500000,4,3,1445,1,1
Banasree,18600000,6,6,2860,1,0
Banasree,11500000,3,3,1597,1,1
Banasree,14200000,4,5,2350,1,1
Banasree,13500000,4,3,1921,1,1
Banasree,7350000,3,3,1450,0,1
Banasree,5600000,2,2,990,0,0
Banasree,5200000,2,2,950,0,0
Banasree,6370000,3,3,1250,1,0
Banasree,6900000,3,3,1250,1,1
Banasree,13000000,3,3,1600,1,1
Banasree,8300000,3,3,1340,1,1
Banasree,5700000,2,2,1000,0,1
Banasree,5600000,3,2,950,0,1
Banasree,5500000,3,2,1020,0,0
Banasree,6600000,3,3,1150,0,0
Banasree,7000000,3,3,1150,0,1
Banasree,11700000,3,3,1500,1,1
Banasree,7000000,3,2,1150,1,0
Banasree,9200000,4,3,1436,0,1
Banasree,10000000,3,3,1495,1,1
Banasree,11500000,4,3,1625,1,1
